,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Tetramorium_caespitum,Monogynous,Monodomous,Independent,NA,8.92279162396964,No,1.09861228866811,1.38629436111989,Yes,Yes,Om,NA,MR,DayAndNight,NA,No,NA,NA,Ge,Gr,Yes,Exotic,Co
Anochetus_oriens,NA,NA,NA,NA,NA,NA,2.09186406167839,2.09186406167839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Myrmica_spatulata,Polygynous,NA,Independent,NA,5.6937321388027,No,1.68639895357023,1.68639895357023,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,TF,Gr,No,Native,Ne
Crematogaster_luctans,NA,NA,NA,NA,NA,No,1.25276296849537,1.45861502269952,NA,NA,Ho,NA,HT,NA,NA,NA,NA,NA,NA,TAL,No,Native,Af
Pheidole_bicornis,Oligogynous,Polydomous,NA,NA,5.01727983681492,Yes,1.04380405217311,1.38128181929635,NA,Yes,Om,Aggressive,MR,NA,Yes,No,No,No,RF,TC,No,Native,Neo
Crematogaster_bryophilia,Monogynous,Polydomous,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,MR,Night,Yes,No,No,No,RF,TC,No,Native,Neo
Octostruma_iheringi,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,Pr,Unresponsive,SF,NA,NA,NA,NA,NA,Ge,Gr,No,Native,Neo
Odontomachus_haematoda,Monogynous,NA,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Plagiolepis_fuscula,NA,NA,NA,NA,NA,NA,0.993251773010283,1.02961941718116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,NA,Native,Af
Pheidole_susannae,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,TC,NA,Native,Neo
Tapinolepis_pernix,NA,NA,NA,NA,NA,NA,1.09861228866811,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,NA,Native,Af
Cataglyphis_bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Polyrhachis_andrei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Bariamyrma_hispidula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pheidole_browni,Polygynous,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Crematogaster_solers,NA,NA,NA,NA,NA,NA,1.6094379124341,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pachycondyla_unidentata,Monogynous,Monodomous,Independent,NA,NA,No,NA,NA,NA,Yes,Om,NA,NA,NA,No,No,No,No,Ge,TC,No,Native,Neo
Formicoxenus_provancheri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,TAL,NA,Native,Ne
Tapinolepis_litoralis,NA,NA,NA,NA,NA,NA,1.45861502269952,1.45861502269952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Neivamyrmex_postcarinatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Prenolepis_imparis,Oligogynous,Monodomous,Independent,NA,8.57187075270693,No,1.09861228866811,1.6094379124341,NA,No,Om,Aggressive,MR,DayAndNight,No,No,No,No,Ge,Un,Yes,Exotic,Co
Pachycondyla_theresiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ho,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Stenamma_debile,Monogynous,NA,NA,NA,5.52545293913178,No,1.38629436111989,1.6094379124341,NA,Yes,Om,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Pa
Camponotus_chromaiodes,Monogynous,NA,Independent,NA,7.84619881549743,Yes,1.94591014905531,2.63905732961526,No,No,Om,NA,NA,NA,NA,No,NA,NA,TF,TAL,NA,Native,Ne
