,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Neivamyrmex_longiscapus,Polygynous,Polydomous,NA,Rare,NA,No,1.22377543162212,1.22377543162212,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,Ge,Gr,NA,Native,Co
Camponotus_brutus,NA,Polydomous,Independent,NA,8.69968140098951,Yes,2.484906649788,2.77258872223978,NA,NA,Om,NA,Ge,Night,Yes,NA,NA,NA,Ge,Ub,NA,Native,Af
Temnothorax_longispinosus,Oligogynous,Polydomous,Independent,Abundant,3.76120011569356,No,1.17865499634165,1.25276296849537,No,Yes,Om,NA,SF,Day,No,No,No,NA,TF,Ub,No,Native,Ne
Acanthoponera_minor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SF,Night,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_somalinus,NA,NA,NA,NA,NA,Yes,2.56494935746154,2.77258872223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Strumigenys_elongata,NA,NA,NA,NA,NA,No,1.09861228866811,1.09861228866811,NA,Yes,Pr,NA,SF,NA,NA,NA,No,No,Ge,Ub,No,Native,Neo
Gnamptogenys_haenschi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pseudomyrmex_pallidous,Polygynous,Polydomous,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,No,Native,Ne
Strumigenys_fairchildi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Brachymyrmex_cordemoyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,Exotic,Co
Crematogaster_acis,NA,NA,NA,NA,NA,NA,1.48160454092422,1.48160454092422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_ancipitula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Acropyga_yaeyamensis,NA,NA,NA,Rare,NA,No,0.916290731874155,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,No,No,No,RF,LF,No,Native,In
Camponotus_planatus,Polygynous,NA,Independent,NA,NA,Yes,1.38629436111989,1.94591014905531,No,No,Om,NA,SF,Day,No,Yes,No,No,Ge,Ub,Yes,Exotic,Co
Myrmelachista_joycei,Polygynous,Polydomous,Independent,NA,NA,No,NA,NA,NA,No,Om,NA,MR,Day,Yes,No,No,No,RF,TC,No,Native,Neo
Formica_yessensis,Oligogynous,Supercolonial,Dependent,NA,19.5390956631846,No,1.70474809223843,2.07944154167984,NA,No,NA,NA,NA,NA,NA,No,No,No,Ge,Ub,No,Native,Pa
Axinidris_palligastrion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Typhlomyrmex_prolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Pachycondyla_dismarginata,NA,Monodomous,Independent,NA,3.43398720448515,No,NA,NA,NA,Yes,NA,NA,NA,DayAndNight,NA,No,No,No,RF,Ub,No,Native,Neo
Pyramica_malaplax,NA,NA,NA,NA,NA,NA,1.1314021114911,1.1314021114911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pheidole_renae,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_tauricollis,NA,NA,NA,NA,NA,NA,1.66770682055808,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Polyrhachis_regesa,NA,NA,NA,NA,NA,No,1.68639895357023,1.75785791755237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pyramica_concolor,NA,NA,NA,NA,NA,NA,1.09861228866811,1.16315080980568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tetramorium_simillimum,Polygynous,NA,Dependent,NA,5.70711026474888,No,1.1314021114911,1.25276296849537,Yes,Yes,Pr,NA,NA,DayAndNight,NA,No,NA,NA,Ge,Ub,Yes,Exotic,Co
Myrmicocrypta_dilacerata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Anochetus_filicornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Gnamptogenys_simulans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,RF,Un,NA,Native,Neo
Wasmannia_villosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Dolichoderus_plagiatus,Oligogynous,NA,Independent,NA,4.77068462446567,No,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Native,Ne
Cephalotes_grandinosus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TC,NA,Native,Neo
Acropyga_keira,NA,Monodomous,NA,NA,NA,No,NA,NA,NA,No,Ho,Unresponsive,HT,NA,NA,No,No,No,RF,Un,No,Native,Neo
Camponotus_aurosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_diabolus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Cataglyphis_abyssinicus,NA,NA,NA,NA,NA,NA,2.07944154167984,2.35137525716348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_ashmeadi,Monogynous,NA,Independent,NA,8.45404037641097,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Ne
Brachymyrmex_depilis,Monogynous,NA,Independent,NA,5.30330490805908,No,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,NA,Exotic,Ne
Pheidole_rugulosa,Oligogynous,NA,NA,NA,5.70711026474888,Yes,1.09861228866811,1.38629436111989,Yes,Yes,Gr,NA,NA,NA,No,No,No,No,Ge,Ub,No,Native,Ne
Strumigenys_lanuginosa,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,Pr,NA,NA,NA,NA,Yes,NA,NA,Ge,TAL,NA,Exotic,Co
Camponotus_obliquus,NA,NA,Independent,NA,NA,Yes,1.6094379124341,1.6094379124341,No,No,NA,NA,NA,NA,NA,No,NA,NA,TF,NA,NA,Native,Ne
Dorylus_kohli,NA,NA,NA,NA,NA,Yes,1.38629436111989,2.56494935746154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Crematogaster_rufigena,NA,NA,NA,NA,NA,NA,1.50407739677627,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,NA
Aphaenogaster_kumejimana,NA,NA,NA,NA,NA,No,1.70474809223843,1.87180217690159,NA,Yes,Om,Unresponsive,HT,NA,Yes,No,No,No,TF,TAL,No,Native,In
Pheidole_laselva,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Pheidole_cramptoni,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TAL,NA,Native,Neo
Leptothorax_kraussei,Monogynous,Monodomous,NA,NA,6.21660610108486,No,NA,NA,NA,NA,Ho,NA,NA,DayAndNight,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Dolopomyrmex_pilatus,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,De,NA,NA,Native,Ne
Crematogaster_curvispinosa,Oligogynous,Monodomous,Facultative,NA,NA,No,NA,NA,NA,Yes,Ho,NA,NA,DayAndNight,Yes,No,No,No,RF,TC,No,Native,Neo
Pheidole_metallescens,Monogynous,NA,Independent,NA,6.64378973314767,Yes,NA,NA,Yes,Yes,Om,NA,NA,NA,No,No,No,No,Ge,Ub,No,Native,Ne
Polyrhachis_rufipalpis,NA,NA,NA,NA,NA,No,1.79175946922805,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Pheidole_monteverdensis,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,LF,NA,Native,Neo
Camponotus_caffer,NA,NA,NA,NA,NA,Yes,2.35137525716348,2.83321334405622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_distans,Oligogynous,Polydomous,Facultative,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,No,No,RF,TAL,No,Native,Co
Ponera_exotica,NA,NA,NA,NA,3.93182563272433,No,1.09861228866811,1.09861228866811,NA,Yes,Pr,NA,NA,NA,No,No,No,No,Ge,Un,No,Native,Co
Cardiocondyla_emeryi,Polygynous,NA,Dependent,NA,3.93182563272433,No,1.02961941718116,1.1314021114911,Yes,Yes,Om,NA,Ge,Day,No,No,No,No,Ge,Ub,Yes,Exotic,Co
Axinidris_okekai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Amblyopone_pallipes,Oligogynous,Monodomous,Facultative,Medium,2.30258509299405,No,1.6094379124341,2.01490302054226,NA,Yes,Pr,NA,SF,NA,NA,No,NA,NA,Ge,Ub,No,Native,Ne
Camponotus_novogranadensis,Monogynous,Monodomous,Independent,NA,NA,Yes,NA,NA,NA,No,Om,NA,SF,Day,No,Yes,No,No,Ge,Ub,Yes,Native,Neo
Aenictogiton_elongatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Eciton_lucanoides,Monogynous,NA,Independent,NA,NA,Yes,NA,NA,Yes,Yes,Pr,Aggressive,AA,DayAndNight,No,No,No,Yes,RF,NA,No,Native,Neo
Cerapachys_braunsi,NA,NA,NA,NA,NA,NA,1.50407739677627,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_berthoudi,NA,NA,NA,NA,NA,Yes,2.14006616349627,2.14006616349627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Formica_lugubris,Polygynous,Polydomous,Dependent,NA,NA,No,1.6094379124341,2.30258509299405,No,No,Om,Aggressive,NA,NA,NA,Yes,NA,NA,Ge,TAL,NA,Native,Pa
Pheidole_alfaroi,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,Gr,NA,Native,Neo
Pheidole_nigricula,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Strumigenys_emmae,Monogynous,Monodomous,Independent,NA,3.36729582998647,No,0.916290731874155,1.06471073699243,NA,Yes,Pr,NA,SF,NA,NA,No,No,No,Ge,Ub,Yes,Exotic,Co
Crematogaster_costeboriensis,NA,NA,NA,NA,NA,NA,1.09861228866811,1.09861228866811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Anochetus_agilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Pheidole_pallidula,Facultative,Monodomous,NA,Abundant,9.61587214452889,Yes,1.09861228866811,1.6094379124341,Yes,Yes,Om,NA,MR,DayAndNight,NA,NA,NA,NA,Ge,Gr,No,Native,Pa
Crematogaster_arthurimuelleri,NA,NA,NA,NA,NA,NA,1.56861591791385,1.56861591791385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_etiolipes,NA,NA,NA,NA,NA,Yes,2.83321334405622,2.83321334405622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Anochetus_horridus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Pheidole_traini,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_modoc,Oligogynous,NA,Independent,NA,10.3089859934221,Yes,1.94591014905531,2.63905732961526,No,No,Om,NA,Ge,DayAndNight,NA,NA,NA,NA,TF,Ub,NA,Native,Ne
Anochetus_faurei,NA,NA,NA,NA,NA,NA,2.39789527279837,2.39789527279837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Co,TC,NA,Native,Af
Mycocepurus_tardus,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,FG,NA,FG,NA,Yes,NA,NA,NA,RF,Gr,NA,Native,Neo
Apterostigma_goniodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Megalomyrmex_wettereri,Monogynous,Monodomous,NA,NA,NA,No,NA,NA,NA,Yes,Om,Aggressive,GH,NA,No,Yes,No,Yes,NA,Gr,No,Native,Neo
Cataglyphis_cana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Camponotus_braunsi,NA,NA,NA,NA,NA,NA,1.87180217690159,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_incorrecta,NA,NA,NA,NA,NA,NA,1.38629436111989,1.38629436111989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tapinolepis_tumidula,NA,NA,NA,NA,NA,NA,1.25276296849537,1.25276296849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Messor_barbarus,Monogynous,Monodomous,Independent,NA,8.5173931714189,Yes,1.6094379124341,2.30258509299405,Yes,Yes,Om,NA,MR,DayAndNight,NA,NA,NA,NA,Ge,Un,No,Native,Pa
Camponotus_repens,NA,NA,NA,NA,NA,Yes,1.7404661748405,2.14006616349627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Pyramica_paradoxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Dorylus_bequaerti,NA,NA,NA,NA,NA,Yes,1.30833281965018,1.79175946922805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,Native,Af
Formica_moki,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Ne
Plagiolepis_intermedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Dorylus_mayri,NA,NA,NA,NA,NA,Yes,2.39789527279837,2.39789527279837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Camponotus_buchholzi,NA,NA,NA,NA,NA,Yes,1.66770682055808,2.33214389523559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Nesomyrmex_dalmasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Polyrhachis_gamaii,NA,NA,NA,NA,NA,No,2.16332302566054,2.2512917986065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pheidole_umphreyi,Monogynous,Monodomous,Independent,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,No,No,NA,TAL,No,Native,Neo
Cephalotes_maculatus,NA,Polydomous,NA,NA,NA,Yes,NA,NA,NA,Yes,Om,NA,MR,Day,No,Yes,No,No,Ge,TC,No,Native,Neo
Stenamma_meridionale,Monogynous,Monodomous,Independent,NA,2.77258872223978,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,Ge,Un,No,Native,Ne
Ectatomma_ruidum,Monogynous,NA,Independent,NA,NA,No,2.19722457733622,2.39789527279837,No,Yes,Om,Evasive,NA,NA,NA,NA,No,No,Ge,Un,No,Native,Neo
Temnothorax_schaumii,Oligogynous,NA,Independent,NA,4.80402104473326,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,No,NA,NA,Ge,TC,Yes,Native,Ne
Camponotus_textor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pogonomyrmex_colei,Monogynous,NA,Independent,Rare,0,No,0,0,NA,NA,NA,NA,NA,NA,No,Yes,No,No,Ge,Un,No,Native,Ne
Myrmecocystus_testaceus,NA,Polydomous,NA,NA,NA,Yes,NA,NA,NA,No,NA,NA,SF,Night,NA,NA,NA,NA,Ge,Un,NA,Native,Co
Camponotus_maguassa,NA,NA,NA,NA,NA,Yes,2.39789527279837,2.39789527279837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_impressa,NA,NA,NA,NA,NA,NA,1.45861502269952,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TC,NA,Native,Af
Crematogaster_arnoldi,NA,NA,NA,NA,NA,NA,1.3609765531356,1.41098697371026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_theta,NA,NA,NA,NA,NA,NA,1.48160454092422,1.54756250871601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TC,NA,Native,Af
Technomyrmex_laurenti,NA,NA,NA,NA,NA,NA,1.02961941718116,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Amblyopone_mystriops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Formica_perpilosa,NA,NA,NA,NA,NA,Yes,1.38629436111989,1.87180217690159,NA,No,Om,NA,HT,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Ne
Aphaenogaster_araneoides,Oligogynous,Monodomous,Dependent,NA,4.79579054559674,No,2.07944154167984,2.39789527279837,NA,Yes,Om,Evasive,SF,DayAndNight,No,No,No,No,Ge,Gr,No,Native,Neo
Procryptocerus_seabrai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Neo
Myrmelachista_osa,Monogynous,Polydomous,Independent,NA,NA,No,NA,NA,NA,No,Om,NA,Ge,Day,Yes,No,No,No,RF,TC,No,Native,Neo
Crematogaster_natalensis,NA,NA,NA,NA,NA,NA,1.09861228866811,1.28093384546206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,Native,Af
Pheidole_gilvescens,Monogynous,NA,Independent,NA,6.21660610108486,Yes,NA,NA,Yes,Yes,Om,NA,NA,Night,No,No,No,No,Ge,Un,No,Native,Ne
Formica_grouvellei,Polygynous,NA,NA,NA,NA,No,1.6094379124341,2.30258509299405,NA,No,Om,NA,NA,NA,Yes,NA,NA,NA,TF,Gr,NA,Native,Pa
Discothyrea_humilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Dorylus_ueharae,NA,NA,NA,NA,NA,Yes,2.2512917986065,2.2512917986065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Strongylognathus_testaceus,Polygynous,NA,NA,NA,NA,No,1.38629436111989,1.6094379124341,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,Gr,NA,NA,Native,Pa
Aphaenogaster_tennesseensis,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Sericomyrmex_urichi,Monogynous,NA,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Stenamma_schmidti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,LF,NA,Native,Neo
Pheidole_fiorii,Monogynous,Monodomous,Independent,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,No,No,RF,Ub,No,Native,Neo
Myrmica_specoides,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Ge,Gr,No,Native,Co
Lepisiota_deplanata,NA,NA,NA,NA,NA,NA,1.25276296849537,1.25276296849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Dorylus_nigricans,NA,NA,NA,NA,NA,Yes,1.25276296849537,2.484906649788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Camponotus_sericeiventris,NA,NA,NA,NA,NA,Yes,NA,NA,NA,No,Om,NA,SF,Day,NA,No,No,No,Ge,TC,No,Exotic,Neo
Cyphomyrmex_cornutus,Monogynous,Monodomous,Independent,NA,7.60140233458373,No,NA,NA,NA,Yes,FG,NA,Ge,NA,Yes,No,No,No,RF,TC,No,Native,Neo
Crematogaster_monteverdensis,Polygynous,Polydomous,Dependent,NA,NA,No,NA,NA,NA,Yes,Om,NA,NA,Day,NA,NA,No,No,RF,Ub,No,Native,Neo
Cephalotes_multispinosus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Om,NA,Ge,Day,Yes,No,No,No,Ge,TC,No,Native,Neo
Tapinoma_minimum,NA,NA,NA,NA,NA,NA,0.78845736036427,0.8754687373539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_klugii,NA,NA,NA,NA,NA,Yes,1.50407739677627,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Rhytidoponera_purpurea,Monogynous,NA,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Camponotus_congolensis,NA,NA,NA,NA,NA,Yes,2.63905732961526,2.63905732961526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Tetramorium_tsushimae,Polygynous,NA,NA,Abundant,14.9141231799657,No,1.25276296849537,1.25276296849537,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,UA,NA,Yes,Native,Co
Pyramica_metazytes,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,TF,NA,NA,Native,Ne
Pyramica_rusta,NA,NA,NA,NA,NA,NA,1.09861228866811,1.1314021114911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Pyramica_fisheri,NA,NA,NA,NA,NA,NA,1.25276296849537,1.25276296849537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_orthodoxus,NA,NA,NA,NA,NA,Yes,1.50407739677627,2.01490302054226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sh,NA,NA,Native,Af
Apomyrma_stygia,NA,NA,NA,NA,3.93182563272433,NA,0.974559639998131,1.13462272619114,NA,NA,Pr,NA,NA,NA,NA,NA,NA,NA,Ge,Ub,NA,Native,Af
Pheidole_brachyops,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TDF,Gr,NA,Native,Neo
Paraparatrechina_albipes,NA,NA,NA,NA,NA,No,0.8754687373539,1.06471073699243,NA,NA,Ho,NA,HT,NA,NA,NA,NA,NA,Ge,TC,NA,Native,Af
Pseudolasius_weissi,NA,NA,NA,NA,NA,Yes,1.09861228866811,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Camponotus_transvaalensis,NA,NA,NA,NA,NA,Yes,1.79175946922805,2.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,Native,Af
Plagiolepis_xene,Polygynous,NA,NA,NA,NA,NA,NA,NA,NA,NA,Om,NA,NA,NA,No,Yes,No,No,Ge,Gr,No,Native,Pa
Camponotus_aegyptiacus,NA,NA,NA,NA,NA,Yes,2.484906649788,2.484906649788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Myrmica_fracticornis,Oligogynous,NA,Independent,NA,6.4425401664682,No,1.70474809223843,1.70474809223843,NA,Yes,NA,NA,NA,DayAndNight,No,No,No,No,TF,Gr,No,Native,Ne
Formica_aquilonia,NA,NA,NA,NA,NA,NA,1.79175946922805,2.39789527279837,Yes,NA,Om,NA,HT,NA,NA,NA,NA,NA,Ge,TC,NA,Native,Pa
Dolichoderus_lamellosus,Monogynous,Monodomous,NA,NA,4.39444915467244,No,NA,NA,Yes,No,Om,Evasive,Ge,Night,NA,No,No,No,Ge,Ub,Yes,Native,Neo
Camponotus_arnoldinus,NA,NA,NA,NA,NA,Yes,2.37954613413017,2.63905732961526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_magitae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Apterostigma_mayri,Monogynous,NA,NA,NA,NA,NA,NA,NA,NA,NA,FG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,NA
Dorylus_funereus,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Formica_difficilis,Monogynous,NA,NA,NA,NA,NA,NA,NA,NA,No,Ho,NA,NA,NA,NA,Yes,NA,NA,TF,NA,NA,Native,Ne
Camponotus_posticus,NA,NA,NA,NA,NA,Yes,2.4423470353692,2.83321334405622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_cinctellus,NA,NA,NA,NA,NA,Yes,1.87180217690159,2.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Af
Paratrechina_incallida,NA,NA,NA,NA,NA,No,1.16315080980568,1.16315080980568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
